"","date","parties","value","size","name","firm","date_from","sample_size"
"218","2021-06-14","Lab",33.21,1,"line Lab","","",""
"219","2021-06-14","LibDem",7.21,1,"line LibDem","","",""
"220","2021-06-14","UKIP",1.88,1,"line UKIP","","",""
"221","2021-06-14","Green",6.14,1,"line Green","","",""
"222","2021-06-14","SNP",4.56,1,"line SNP","","",""
"223","2021-06-14","PLPW",1,1,"line PLPW","","",""
"224","2021-06-14","BP",2.49,1,"line BP","","",""
"225","2021-06-14","ChUK",NA,1,"line ChUK","","",""
"226","2021-06-15","Con",42.99,1,"line Con","","",""
"227","2021-06-15","Lab",33.12,1,"line Lab","","",""
"228","2021-06-15","LibDem",7.38,1,"line LibDem","","",""
"229","2021-06-15","UKIP",1.99,1,"line UKIP","","",""
"230","2021-06-15","Green",6.12,1,"line Green","","",""
"231","2021-06-15","SNP",4.45,1,"line SNP","","",""
"232","2021-06-15","PLPW",1,1,"line PLPW","","",""
"233","2021-06-15","BP",2.55,1,"line BP","","",""
"234","2021-06-15","ChUK",NA,1,"line ChUK","","",""
"235","2021-06-16","Con",42.93,1,"line Con","","",""
"236","2021-06-16","Lab",33.03,1,"line Lab","","",""
"237","2021-06-16","LibDem",7.55,1,"line LibDem","","",""
"238","2021-06-16","UKIP",2.09,1,"line UKIP","","",""
"239","2021-06-16","Green",6.1,1,"line Green","","",""
"240","2021-06-16","SNP",4.34,1,"line SNP","","",""
"241","2021-06-16","PLPW",1,1,"line PLPW","","",""
"242","2021-06-16","BP",2.61,1,"line BP","","",""
"243","2021-06-16","ChUK",NA,1,"line ChUK","","",""
"244","2021-06-17","Con",42.87,1,"line Con","","",""
"245","2021-06-17","Lab",32.93,1,"line Lab","","",""
"246","2021-06-17","LibDem",7.72,1,"line LibDem","","",""
"247","2021-06-17","UKIP",2.2,1,"line UKIP","","",""
"248","2021-06-17","Green",6.08,1,"line Green","","",""
"249","2021-06-17","SNP",4.22,1,"line SNP","","",""
"250","2021-06-17","PLPW",1,1,"line PLPW","","",""
"251","2021-06-17","BP",2.67,1,"line BP","","",""
"252","2021-06-17","ChUK",NA,1,"line ChUK","","",""
"253","2021-06-18","Con",42.81,1,"line Con","","",""
"254","2021-06-18","Lab",32.91,1,"line Lab","","",""
"255","2021-06-18","LibDem",8.08,1,"line LibDem","","",""
"256","2021-06-18","UKIP",2.3,1,"line UKIP","","",""
"257","2021-06-18","Green",5.8,1,"line Green","","",""
"258","2021-06-18","SNP",4,1,"line SNP","","",""
"259","2021-06-18","PLPW",1,1,"line PLPW","","",""
"260","2021-06-18","BP",2.43,1,"line BP","","",""
"261","2021-06-18","ChUK",NA,1,"line ChUK","","",""
"262","2021-06-19","Con",42.76,1,"line Con","","",""
"263","2021-06-19","Lab",32.9,1,"line Lab","","",""
"264","2021-06-19","LibDem",8.44,1,"line LibDem","","",""
"265","2021-06-19","UKIP",2.41,1,"line UKIP","","",""
"266","2021-06-19","Green",5.52,1,"line Green","","",""
"267","2021-06-19","SNP",3.78,1,"line SNP","","",""
"268","2021-06-19","PLPW",1,1,"line PLPW","","",""
"269","2021-06-19","BP",2.19,1,"line BP","","",""
"270","2021-06-19","ChUK",NA,1,"line ChUK","","",""
"271","2021-06-20","Con",42.7,1,"line Con","","",""
"272","2021-06-20","Lab",32.88,1,"line Lab","","",""
"273","2021-06-20","LibDem",8.79,1,"line LibDem","","",""
"274","2021-06-20","UKIP",2.52,1,"line UKIP","","",""
"275","2021-06-20","Green",5.25,1,"line Green","","",""
"276","2021-06-20","SNP",3.56,1,"line SNP","","",""
"277","2021-06-20","PLPW",1,1,"line PLPW","","",""
"278","2021-06-20","BP",1.95,1,"line BP","","",""
"279","2021-06-20","ChUK",NA,1,"line ChUK","","",""
"280","2021-06-21","Con",42.66,1,"line Con","","",""
"281","2021-06-21","Lab",32.89,1,"line Lab","","",""
"282","2021-06-21","LibDem",8.86,1,"line LibDem","","",""
